longSMA,tpd,ntp,lev,stop,sltp,maxdist,gidx,port_growth,port_posMo%,port_worstM%,port_DDmonthly%,BTC_growth,BTC_dd,BTC_green,BTC_ntr,ETH_growth,ETH_dd,ETH_green,ETH_ntr,XRP_growth,XRP_dd,XRP_green,XRP_ntr,BNB_growth,BNB_dd,BNB_green,BNB_ntr,trades_day,disp_minmax,eth_platform_ret_est%
2700,0.28,15,1.0,0.017,2,0.0075,10669400,100.56729251413344,63.44086021505376,-16.711723381471323,18.702921329232975,33.132687045810115,31.378207321605295,51.19047619047619,3429.0,764.8140082669155,30.700665546282924,60.0,2805.0,2.689316959109485,82.95957540299162,43.18181818181818,4291.0,16.57259436618992,75.34997612919834,44.18604651162791,3789.0,4.898700685104544,0.0035163019113673578,34769.957
1700,0.25,15,1.0,0.005,1,0.015,4656748,100.49759131299818,62.76595744680851,-17.598994648162623,21.643936995153755,19.536358888324877,50.331349072516694,52.17391304347826,4875.0,336.76537779335104,37.456202460596856,55.913978494623656,4345.0,4.961255133998311,85.93892726937727,50.0,6134.0,33.52037527557324,62.368607231114915,54.255319148936174,4865.0,6.919577277639288,0.014732081921564633,15237.25
1700,0.29,15,1.0,0.005,3,0.0,4738836,100.45312018737968,63.829787234042556,-17.598994648162595,18.419827743806078,18.085037894580076,49.7815921873092,53.26086956521739,4867.0,265.8446027793993,37.022781807917745,55.913978494623656,4336.0,5.496043946471222,80.56933500587483,51.08695652173913,6157.0,32.12323900021691,62.977696561582555,53.763440860215056,4865.0,6.921630666217646,0.020673897039887992,12018.738
2700,0.29,15,1.0,0.02,2,0.0075,10689992,100.43467399858947,63.44086021505376,-16.83388628711905,18.398524099823668,32.442373714377275,30.552008864278445,51.19047619047619,3427.0,789.9783587990687,30.91215893729119,60.0,2800.0,2.610365784156662,83.0676572543899,44.31818181818182,4287.0,15.791170335146395,76.74259218346691,43.02325581395349,3787.0,4.894251676518099,0.0033043510054186305,35915.492
2800,0.26,14,1.0,0.008,2,0.0075,11221856,100.40985455466998,62.365591397849464,-16.53194483622371,20.656804486786086,36.01142783577552,30.326934330210076,51.80722891566265,3226.0,472.25960758647136,32.365258742151944,55.12820512820513,2660.0,6.408410409071116,73.7927875971022,49.42528735632184,4050.0,14.801755415343601,77.00806030086666,41.86046511627907,3777.0,4.693019595838941,0.01356967715664255,21420.81
1700,0.29,15,1.0,0.005,3,0.015,4738840,100.40485296012957,63.829787234042556,-17.598994648162595,21.63637149463895,19.497243334497828,49.78159218730919,53.26086956521739,4852.0,285.1705788546169,37.02278180791767,55.913978494623656,4322.0,4.430550294798872,86.41324890017698,50.0,6118.0,36.22975448668179,62.604678226895786,53.763440860215056,4841.0,6.890145374682812,0.015536491571445085,12895.804
1700,0.29,15,1.0,0.005,4,0.0,4738842,100.30616034084358,63.829787234042556,-17.59899464816261,18.419827743806046,18.085037894580076,49.7815921873092,53.26086956521739,4867.0,266.84706486153533,37.022781807917724,55.913978494623656,4334.0,5.494944202795206,80.57322302990741,51.08695652173913,6157.0,31.883687472846564,62.97769656158246,53.763440860215056,4865.0,6.920946203358193,0.020592110337231875,12064.292
2100,0.3,14,1.0,0.017,2,0.015,7138594,100.29046647491776,63.44086021505376,-21.896168226763272,21.89616822676327,42.50102437253466,52.36565275825081,54.34782608695652,3983.0,465.89858653162884,36.83773376986583,60.0,3534.0,2.2607242746032594,82.54961372139802,47.82608695652174,4988.0,9.161885674743987,63.69173458410115,47.31182795698925,4228.0,5.726558513612849,0.004852395649948562,21131.805
1700,0.29,15,1.0,0.005,4,0.015,4738846,100.2641115838664,63.829787234042556,-17.59899464816262,21.63637149463897,19.497243334497828,49.78159218730919,53.26086956521739,4852.0,286.2459164362469,37.02278180791771,55.913978494623656,4320.0,4.430550294798872,86.41324890017698,50.0,6118.0,35.959579582355495,62.604678226895714,53.763440860215056,4841.0,6.889460911823359,0.01547812576668024,12944.596
2000,0.3,8,1.0,0.004,1,0.005,6534985,100.24802853724815,65.95744680851064,-17.264720259125593,21.400076826907647,48.09015883292048,34.751347754874025,50.0,4075.0,604.6783026468307,37.85513227513087,55.43478260869565,3828.0,2.2893943610460794,83.86635597646321,40.21739130434783,5088.0,17.5801648442377,55.78289436780477,52.68817204301075,4342.0,5.931897371448725,0.0037861361173781465,27440.398
2100,0.3,15,1.0,0.014,3,0.015,7139896,100.24802012559545,63.44086021505376,-21.527372314511464,21.527372314511467,41.13387154547337,53.214106920798,54.34782608695652,3987.0,485.09913698913556,35.948474767054634,58.888888888888886,3528.0,2.3521245111534252,80.61824419476757,47.82608695652174,4999.0,8.069939011658601,64.72696472206984,47.31182795698925,4229.0,5.729980827910114,0.004848750145696722,22004.371
1700,0.29,14,1.0,0.005,1,0.015,4737460,100.24033367845112,62.76595744680851,-17.598994648162638,21.463446794110002,19.186686421822017,50.23354015137671,52.17391304347826,4870.0,310.69597368792023,37.27610374906128,55.913978494623656,4340.0,4.548297335946749,86.30137750934482,50.0,6131.0,36.89558432737956,62.30524684318485,54.255319148936174,4858.0,6.9127326490447585,0.01463906107941812,14054.143
1700,0.3,15,1.0,0.005,3,0.02,4759361,100.22024836907035,63.829787234042556,-17.598994648162645,21.680718465800528,19.108742802378455,49.75598158361072,53.26086956521739,4860.0,270.5793160507194,36.98656272169457,55.913978494623656,4326.0,4.358972250795873,86.69537825072813,50.0,6137.0,36.571862110195504,62.74990110135421,53.763440860215056,4849.0,6.903492400442144,0.016109776291912847,12233.649
2100,0.3,14,1.0,0.017,4,0.015,7138606,100.13652254314083,63.44086021505376,-21.896168226763287,21.896168226763283,41.66353087746223,52.36565275825088,54.34782608695652,3982.0,454.92967048736887,36.837733769865835,60.0,3528.0,2.333500961074688,82.53031851461473,47.82608695652174,4983.0,9.132102908167216,63.66156921825158,47.31182795698925,4226.0,5.7217672735966785,0.005129366388819606,20633.11
2800,0.28,13,1.0,0.008,2,0.0075,11261528,100.11804372381964,62.365591397849464,-16.531944836223726,20.5435865518143,36.68612570690858,29.846257417598952,51.80722891566265,3226.0,470.710767053614,32.36525874215192,53.84615384615385,2660.0,6.1892478244534,74.54097926275813,49.42528735632184,4049.0,15.409019214761571,77.06577138901174,41.86046511627907,3777.0,4.692677364409215,0.013148727961322465,21350.43
2000,0.3,15,1.0,0.012,1,0.005,6544753,99.98310943702543,62.76595744680851,-19.677579703184573,20.101528020079204,29.7491539737646,40.49707057738877,52.17391304347826,4026.0,416.065465301408,37.40296444709513,52.17391304347826,3760.0,2.8113209356272835,73.8604143041372,45.65217391304348,4932.0,19.749998232903522,60.40246797443649,51.08695652173913,4204.0,5.79124025383115,0.006756919691930437,18866.658
2700,0.28,15,1.0,0.02,2,0.0075,10669472,99.97628827311975,63.44086021505376,-16.83388628711906,18.14153160493921,31.835282403416326,30.552008864278417,51.19047619047619,3427.0,761.9163485313693,30.912158937291263,60.0,2800.0,2.8153787789957283,82.90342682607431,44.31818181818182,4287.0,16.027058266634292,76.06103255235278,44.18604651162791,3787.0,4.894251676518099,0.0036951284539602117,34638.1
2100,0.3,15,1.0,0.015,2,0.015,7139914,99.90487733341035,63.44086021505376,-21.804798041881483,21.804798041881487,42.56298797025789,53.562264377333804,54.34782608695652,3986.0,505.84345726914097,36.78552765261165,58.888888888888886,3528.0,2.1924515476074253,80.85999243339732,47.82608695652174,4998.0,8.193612225670895,63.760937300551035,47.31182795698925,4232.0,5.73032305933984,0.004334249096437164,22947.438
1700,0.3,15,1.0,0.005,4,0.02,4759367,99.88266458304317,63.829787234042556,-17.59899464816264,21.68071846580051,19.108742802378455,49.75598158361072,53.26086956521739,4860.0,269.6673155071771,36.986562721694526,55.913978494623656,4326.0,4.358972250795873,86.69537825072813,50.0,6137.0,36.2998071879719,62.74990110135422,53.763440860215056,4849.0,6.903492400442144,0.01616425870001239,12192.242
2800,0.3,15,1.0,0.005,2,0.0075,11305232,99.8412541851283,62.365591397849464,-14.796747667477655,19.389506662168312,43.023823926422814,30.578136646111393,50.602409638554214,3252.0,473.0286089741017,31.982877336267578,56.41025641025641,2694.0,3.2505580545533292,76.7364698264581,44.827586206896555,4127.0,13.8622694669329,72.76253454705825,41.86046511627907,3827.0,4.757016873197789,0.006871800125584576,21455.947
2700,0.29,15,1.0,0.018,3,0.0075,10689950,99.83668708897783,62.365591397849464,-16.752444350020564,18.256153481766905,32.23380790617648,31.44801585942677,51.19047619047619,3430.0,784.7086193366072,30.77116334328568,60.0,2796.0,2.6873233185889744,82.19614390200603,44.31818181818182,4282.0,15.340655804283978,76.42803897873323,43.02325581395349,3789.0,4.892882750799194,0.0034246129739989835,35675.523
1700,0.28,14,1.0,0.005,1,0.015,4716940,99.83061210447846,62.76595744680851,-17.598994648162627,21.508665468283088,18.73694449640516,50.26070637058388,52.17391304347826,4872.0,317.9740621237299,37.314715882052795,55.913978494623656,4340.0,4.6519880656742085,86.21067238383664,50.0,6132.0,36.45039347968514,62.350257356036266,54.255319148936174,4859.0,6.914101574763664,0.014630086600787047,14384.514
1700,0.28,15,1.0,0.005,4,0.015,4718326,99.82835872519925,63.829787234042556,-17.598994648162574,21.67867379299711,19.239186162349213,49.807202791007796,53.26086956521739,4852.0,289.82046149862657,37.05900089414085,55.913978494623656,4320.0,4.548873337211268,86.32580516699232,50.0,6118.0,35.54811078082742,62.646618309114885,53.763440860215056,4841.0,6.889460911823359,0.01569548717743942,13106.845
2100,0.3,14,1.0,0.017,1,0.015,7138588,99.81750792123661,62.365591397849464,-21.896168226763287,21.89616822676328,41.73598396599433,52.365652758250924,54.34782608695652,3993.0,444.8656899155315,36.998456732874644,60.0,3554.0,2.224920700419496,82.46800383357893,47.31182795698925,5002.0,10.399158369805754,63.65937159012054,47.31182795698925,4240.0,5.745723473677531,0.005001331302582474,20175.66
1700,0.28,15,1.0,0.005,4,0.0,4718322,99.77331219842529,62.76595744680851,-17.59899464816264,18.431909503769916,17.845672069514016,49.80720279100777,53.26086956521739,4867.0,270.17936343189325,37.124293644946825,55.913978494623656,4334.0,5.626530697631646,80.5007399621964,51.08695652173913,6157.0,31.51885721551009,63.01921829148141,53.763440860215056,4865.0,6.920946203358193,0.020825168236988538,12215.493
1700,0.28,15,1.0,0.005,3,0.015,4718320,99.75048852491622,63.829787234042556,-17.5989946481626,21.67867379299711,19.239186162349213,49.807202791007796,53.26086956521739,4852.0,286.64659112525936,37.05900089414088,55.913978494623656,4324.0,4.548873337211268,86.32580516699232,50.0,6118.0,35.81585970832312,62.64661830911478,53.763440860215056,4841.0,6.890829837542265,0.01586927414470278,12962.814
