cfg,W,tpd,ntp,lev,stop,sltp,maxdist,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,port_growth,port_DD,port_posMo
27,2100,0.3,15,1.0,0.017,3,0.015,0.617451142550008,0.9348157437872535,1.3900209872251192,2.807449183021001,0.874009453069337,0.3093561145450756,0.5342046037041586,-0.01981638166623978,0.014745518453431528,106.63113583401217,21.89616822676327,63.1578947368421
28,1700,0.3,14,1.0,0.005,3,0.0,0.28849638664652,0.9083330600298642,1.749847499199706,2.0193855507612133,0.8228536870782925,0.05758085281968928,1.0431443449423772,0.1513133782759295,0.042165444986401734,96.48487126657011,18.39027376939756,63.1578947368421
29,2800,0.28,15,1.0,0.019,2,0.0075,0.2410438158373105,1.235757589017668,1.8702698463025387,4.320921161155637,0.36751228589656226,0.17640884288176162,0.4350183668860339,0.01887700608825349,0.03244851460305753,102.91022385502598,22.52711191374326,62.10526315789474
30,2000,0.3,15,1.0,0.011,2,0.005,0.2703849992663725,0.9957717891504811,1.1775732714378764,3.917890483097728,0.7771304303631963,0.09930112159789051,0.8472995890512087,-0.06082297485543864,0.04152527361098013,95.8491901760911,19.678490451508836,63.1578947368421
31,1700,0.3,14,1.0,0.005,3,0.015,0.3037956961136372,0.9426266212226913,1.785091376756149,2.1167788144122244,0.8338827031974563,-0.04969762190757343,1.0678193151662168,0.1665513633892417,0.04216544498640218,96.32317817810267,21.577698895095576,63.1578947368421
32,1700,0.27,15,1.0,0.005,1,0.015,0.3090730460893043,0.9549761838105753,1.7722777214705223,1.8807427427691494,0.8559159780177901,-0.03617240558915524,1.121005473513475,0.19334158464322448,0.04178136699385426,96.40229644505416,21.559572833186824,62.10526315789474
33,1700,0.3,14,1.0,0.005,4,0.0,0.28849638664652,0.9083330600298642,1.7439336705033934,2.0158673900960844,0.8228536870782923,0.05751474028125503,1.043144344942374,0.1513133782759304,0.0421654449864024,96.159177576037,18.39027376939758,63.1578947368421
34,2100,0.3,15,1.0,0.014,2,0.015,0.6004101388311005,0.9087743768531822,1.4050368581287285,2.740591193066388,0.8770626195856472,0.31216263952589673,0.5457423950761346,-0.008491098188535995,0.01953701191393198,105.76720695344106,21.527372314511418,63.1578947368421
35,1700,0.3,13,1.0,0.005,1,0.015,0.31416132714609524,0.9805771266310281,1.8041304569813903,1.8753084790110117,0.8369370665924964,-0.035521654114709644,1.0977091651356137,0.18505721778133233,0.04096168066332595,96.21199028980902,21.401201818994796,62.10526315789474
36,1700,0.3,14,1.0,0.005,4,0.015,0.3037956961136372,0.9426266212226913,1.779086300164289,2.113163205331164,0.8338827031974556,-0.04969762190757343,1.067819315166218,0.16655136338924326,0.042165444986401956,96.0039924333331,21.577698895095565,63.1578947368421
37,2700,0.29,15,1.0,0.019,2,0.0075,0.2092761947854418,1.1917174945587403,1.7915143993967861,4.10384293222786,0.5046774034743269,0.18437555443137255,0.3474589515248876,0.001602127384880525,0.052817865873572734,95.6189814712455,18.354057937727795,62.10526315789474
38,2100,0.3,15,1.0,0.014,4,0.015,0.6072856113515253,0.9110143608515751,1.405530822007007,2.7050034027503846,0.8681385190540143,0.3172288424676488,0.5488494053477575,-0.007221740034088486,0.01953701191393198,105.60665807378699,21.527372314511428,63.1578947368421
